,pdb,beta,nsus,run,auc_,auc_01_,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total,contacts_count,spearman_zmip_evol_nat,par_positions_count,auc_nat,auc_nat_01,auc,auc_01,analysis,auc_di,auc01_di,auc_frob,auc01_frob,auc_di_,auc01_di_,auc_frob_,auc01_frob_
1,2TRX,0.001,1.0,1000,0.464157816355,0.485191917207,39.8077528477,4121.0,1109.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.517989134391,0.500478336708,0.507369688788,0.503102994586
2,2TRX,0.001,1.0,5000,0.513447614103,0.500843434087,80.5948359966,20851.0,5715.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.577101489555,0.510411798164,0.565836195316,0.510886678113
3,2TRX,0.001,1.0,10000,0.483888231958,0.49106784224,136.344429016,42201.0,11601.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.665737597522,0.557022359823,0.626500969435,0.534320927986
4,2TRX,0.001,1.0,20000,0.523227697087,0.503500436679,355.944552898,83761.0,22940.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.694878870294,0.576847545124,0.660201563007,0.554445533045
5,2TRX,0.001,2.0,1000,0.485385080232,0.498622520425,41.873529911,8701.0,2344.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.562470635724,0.517275895679,0.56145818858,0.515734177402
6,2TRX,0.001,2.0,5000,0.4851389768,0.496624026903,133.275686026,43621.0,11783.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.668021890034,0.550492241147,0.636051059099,0.537178190112
7,2TRX,0.001,2.0,10000,0.528319172553,0.500589852069,311.318072796,87561.0,23742.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.741602313409,0.59142956971,0.700162123889,0.558652732541
8,2TRX,0.001,2.0,20000,0.509831916412,0.510524428712,859.573272943,174751.0,47247.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.778668466573,0.642821122564,0.744189678333,0.581003658386
9,2TRX,0.001,3.0,1000,0.481323530775,0.49596279968,42.3231041431,8811.0,2382.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.561398632865,0.525029575119,0.563348089916,0.53640372551
10,2TRX,0.001,3.0,5000,0.508972240039,0.502541784098,135.098176956,43771.0,11833.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.742956213315,0.581973688781,0.705412290976,0.562099182497
11,2TRX,0.001,3.0,10000,0.53900865829,0.503888457203,311.160920143,87661.0,23719.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.801917694003,0.634693284639,0.767138480271,0.605771132455
12,2TRX,0.001,3.0,20000,0.510305581238,0.505092745585,868.991694927,175691.0,47535.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.830896181155,0.678875732306,0.791405448686,0.615524668702
13,2TRX,0.001,5.0,1000,0.523417331581,0.507917574854,43.5796940327,8811.0,2380.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.610336225094,0.535706542353,0.625573223751,0.54571660479
14,2TRX,0.001,5.0,5000,0.495794749737,0.506223525437,139.156343937,43911.0,11833.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.786008377504,0.632173988277,0.745757978811,0.601882102226
15,2TRX,0.001,5.0,10000,0.492837294447,0.489769357423,324.432169914,87671.0,23704.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.837086005069,0.684202012433,0.796732376472,0.614875018525
16,2TRX,0.001,5.0,20000,0.534992621111,0.501016248329,879.627963066,175671.0,47411.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.868741852447,0.729191072906,0.824044627082,0.64933617651
17,2TRX,0.001,7.0,1000,0.49074541527,0.506070352177,43.0476169586,8891.0,2382.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.631757753823,0.529622341365,0.630763835123,0.537404390069
18,2TRX,0.001,7.0,5000,0.520724521763,0.498528138958,140.689240932,43711.0,11822.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.799842508222,0.637834799851,0.770167880942,0.603519262903
19,2TRX,0.001,7.0,10000,0.502721887108,0.51024491365,319.176244974,87661.0,23680.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.828545715628,0.688602276637,0.780324115432,0.62759431165
20,2TRX,0.001,7.0,20000,0.482195849449,0.496155476696,896.116695881,176321.0,47673.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.856794976145,0.720329839651,0.811306321508,0.657037836378
21,2TRX,0.001,10.0,1000,0.500053519068,0.503879430273,43.8504190445,8721.0,2366.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.587435067728,0.532999512766,0.623832873431,0.556030562114
22,2TRX,0.001,10.0,5000,0.49403747009,0.493632146487,144.537832975,43931.0,11833.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.779862227781,0.626318993122,0.753801308902,0.594839209867
23,2TRX,0.001,10.0,10000,0.510966352098,0.506151038977,332.473467827,87901.0,23735.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.837923755451,0.672789199807,0.791165902368,0.626950158464
24,2TRX,0.001,10.0,20000,0.528070540661,0.500026643385,908.016580105,175831.0,47454.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.850652796803,0.695853790094,0.816176655483,0.65750696401
25,2TRX,0.001,15.0,1000,0.526219707997,0.50863853904,45.1336679459,8831.0,2403.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.615267438244,0.529251275947,0.617431295866,0.551272413755
26,2TRX,0.001,15.0,5000,0.490066945191,0.493563006272,151.04797101,44021.0,11912.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.778582441652,0.616433744989,0.748481660149,0.598478256956
27,2TRX,0.001,15.0,10000,0.479575522148,0.511422403888,346.176857948,88001.0,23750.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.843281122824,0.702771249321,0.793313878467,0.645801017618
28,2TRX,0.001,15.0,20000,0.50561528808,0.502448934327,918.297815084,175581.0,47375.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.844849423302,0.721265361994,0.809093495854,0.662803362105
29,2TRX,0.01,1.0,1000,0.539356742939,0.501237919856,32.0664069653,3841.0,1027.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.481388839259,0.510195999423,0.490481011653,0.502969257426
30,2TRX,0.01,1.0,5000,0.530212146216,0.505683622282,67.7324240208,19321.0,5117.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.515642639245,0.502581615551,0.532401617269,0.50778698563
31,2TRX,0.01,1.0,10000,0.474499217442,0.491688761824,132.211825848,38541.0,10224.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.599921915841,0.533306032477,0.590334769288,0.531024325343
32,2TRX,0.01,1.0,20000,0.497444148427,0.499921998885,323.181054831,77651.0,20569.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.585520020646,0.527434872306,0.585813828837,0.53540950522
33,2TRX,0.01,2.0,1000,0.493541049125,0.499578135592,41.7256588936,8901.0,2404.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.508415222441,0.498415106777,0.495925727407,0.505779621702
34,2TRX,0.01,2.0,5000,0.487071563001,0.501094499843,136.091534853,44331.0,12034.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.581253184576,0.532503259041,0.589882145859,0.536974771119
35,2TRX,0.01,2.0,10000,0.538202922394,0.505020283914,317.294867039,88721.0,24057.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.633105036428,0.561127039675,0.652157571186,0.562854275717
36,2TRX,0.01,2.0,20000,0.586064983106,0.546178867603,877.272320032,177431.0,48062.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.650799700898,0.569844068121,0.684205162819,0.56538128466
37,2TRX,0.01,3.0,1000,0.535941636402,0.500153534815,41.2561128139,8881.0,2401.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.572948471072,0.516485461892,0.578998008192,0.530556717373
38,2TRX,0.01,3.0,5000,0.469824937863,0.504954432358,136.834400177,44901.0,12128.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.657330977574,0.56495798243,0.678580456461,0.559180302416
39,2TRX,0.01,3.0,10000,0.545502586193,0.517427826438,318.07059598,89531.0,24117.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.664629861235,0.577101715109,0.680013763987,0.567525319992
40,2TRX,0.01,3.0,20000,0.56839189106,0.529593576403,892.681919813,179831.0,48419.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.708480071996,0.589965668154,0.729234576724,0.57562483265
41,2TRX,0.01,5.0,1000,0.499777916937,0.511654573613,42.6969268322,9001.0,2432.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.595089962215,0.544359530179,0.573837836407,0.545294925964
42,2TRX,0.01,5.0,5000,0.546500485043,0.505191577134,140.337738037,44831.0,12075.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.742916509506,0.602227881504,0.710833184444,0.575379691258
43,2TRX,0.01,5.0,10000,0.547484898773,0.515333448538,328.305891037,90061.0,24203.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.723162540779,0.595341513768,0.737561789054,0.587987207511
44,2TRX,0.01,5.0,20000,0.57732325433,0.543480875729,903.470595121,179581.0,48444.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.791110317035,0.64172472831,0.778246282731,0.604232981405
45,2TRX,0.01,7.0,1000,0.506053554467,0.499897938338,42.5456521511,8951.0,2394.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.628750851978,0.550207905953,0.616864854849,0.559074180617
46,2TRX,0.01,7.0,5000,0.569609765924,0.524396058512,143.760702848,44931.0,12116.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.733977858509,0.609741789691,0.734488714192,0.591828231344
47,2TRX,0.01,7.0,10000,0.585753139715,0.511414405919,333.898005009,89771.0,24209.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.769660995639,0.619755511528,0.760063261403,0.591556422433
48,2TRX,0.01,7.0,20000,0.577606441842,0.546213839468,913.160475969,179581.0,48444.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.800536001429,0.65897879657,0.779074768891,0.601902142581
49,2TRX,0.01,10.0,1000,0.499396119488,0.509151192834,43.767455101,9001.0,2432.0,108.0,18151.1987522,,,,,,,,okey_complete2,,,,,0.639809686406,0.549868563576,0.621894004063,0.556947968796
