,pdb,beta,nsus,run,auc,auc_01,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total
1,2TRX,0.001,1.0,1000,0.46415781635458442,0.485191917206653,39.80775284767151,4121.0,1109.0,108.0,18151.1987522
2,2TRX,0.001,1.0,5000,0.51344761410307527,0.50084343408713172,80.59483599662781,20851.0,5715.0,108.0,18151.1987522
3,2TRX,0.001,1.0,10000,0.48388823195754205,0.49106784224022065,136.34442901611328,42201.0,11601.0,108.0,18151.1987522
4,2TRX,0.001,1.0,20000,0.52322769708712991,0.50350043667891975,355.944552898407,83761.0,22940.0,108.0,18151.1987522
5,2TRX,0.001,2.0,1000,0.48538508023224747,0.49862252042480742,41.87352991104126,8701.0,2344.0,108.0,18151.1987522
6,2TRX,0.001,2.0,5000,0.48513897679969459,0.49662402690286533,133.2756860256195,43621.0,11783.0,108.0,18151.1987522
7,2TRX,0.001,2.0,10000,0.52831917255306182,0.50058985206925499,311.3180727958679,87561.0,23742.0,108.0,18151.1987522
8,2TRX,0.001,2.0,20000,0.50983191641248626,0.51052442871160086,859.5732729434967,174751.0,47247.0,108.0,18151.1987522
9,2TRX,0.001,3.0,1000,0.48132353077515,0.49596279967990109,42.3231041431427,8811.0,2382.0,108.0,18151.1987522
10,2TRX,0.001,3.0,5000,0.50897224003850006,0.50254178409832284,135.09817695617676,43771.0,11833.0,108.0,18151.1987522
11,2TRX,0.001,3.0,10000,0.53900865828959799,0.5038884572026795,311.16092014312744,87661.0,23719.0,108.0,18151.1987522
12,2TRX,0.001,3.0,20000,0.51030558123815317,0.50509274558503181,868.9916949272156,175691.0,47535.0,108.0,18151.1987522
13,2TRX,0.001,5.0,1000,0.52341733158139159,0.50791757485400124,43.57969403266907,8811.0,2380.0,108.0,18151.1987522
14,2TRX,0.001,5.0,5000,0.49579474973725085,0.50622352543731541,139.15634393692017,43911.0,11833.0,108.0,18151.1987522
15,2TRX,0.001,5.0,10000,0.49283729444674351,0.48976935742313155,324.4321699142456,87671.0,23704.0,108.0,18151.1987522
16,2TRX,0.001,5.0,20000,0.53499262111112333,0.50101624832926128,879.6279630661011,175671.0,47411.0,108.0,18151.1987522
17,2TRX,0.001,7.0,1000,0.49074541527004378,0.50607035217685303,43.047616958618164,8891.0,2382.0,108.0,18151.1987522
18,2TRX,0.001,7.0,5000,0.52072452176287587,0.49852813895823617,140.6892409324646,43711.0,11822.0,108.0,18151.1987522
